BAG:hanhhoang add 5xĐậu thần cấp 1 lydo: Thu hoạch đậu at 03/02/2023 5:47 PM
BAG:hanhhoang add 20xThỏi vàng lydo: Đổi vàng at 03/02/2023 6:01 PM
BAG:hanhhoang add 1000020xThỏi vàng (old: 20) lydo: Giftcode at 03/02/2023 6:02 PM
BAG:hanhhoang add 10000xĐá ngũ sắc lydo: Giftcode at 03/02/2023 6:02 PM
BAG:hanhhoang add 500xNgọc Rồng 3 sao lydo: Giftcode at 03/02/2023 6:03 PM
BAG:hanhhoang add 500xNgọc Rồng 7 sao lydo: Giftcode at 03/02/2023 6:03 PM
BAG:hanhhoang add 10xĐậu thần cấp 1 (old: 5) lydo: Thu hoạch đậu at 03/02/2023 6:03 PM
BAG:hanhhoang add 1xQuần vải đen lydo: Nhặt từ map at 03/02/2023 6:07 PM
BAG:hanhhoang add 1xCải trang Xekô lydo: Mua từ cửa hàng at 03/02/2023 6:11 PM
BAG:hanhhoang add 1xCải trang Xekô lydo: Mua từ cửa hàng at 03/02/2023 6:11 PM
BAG:hanhhoang add 1xCải trang Nobita lydo: Mua từ cửa hàng at 03/02/2023 6:12 PM
BAG:hanhhoang add 1xCải trang Nobita lydo: Mua từ cửa hàng at 03/02/2023 6:13 PM
BAG:hanhhoang add 1xCải trang Luffy lydo: Mua từ cửa hàng at 03/02/2023 6:13 PM
BAG:hanhhoang add 1xCải trang Franky lydo: Mua từ cửa hàng at 03/02/2023 6:14 PM
BAG:hanhhoang add 1xCải trang Zoro lydo: Mua từ cửa hàng at 03/02/2023 6:14 PM
BAG:hanhhoang add 10xĐậu thần cấp 1 (old: 7) lydo: Thu hoạch đậu at 03/02/2023 6:15 PM
BAG:hanhhoang add 1xRada cấp 1 lydo: Lấy từ rương qua người at 03/02/2023 6:16 PM
BAG:hanhhoang add 1xÁo vải 3 lỗ lydo: Nhặt từ map at 03/02/2023 6:16 PM
BAG:hanhhoang add 1xTrứng vịt muối lydo: Nhặt từ map at 03/02/2023 6:17 PM
BAG:hanhhoang add 1xBột mì lydo: Nhặt từ map at 03/02/2023 7:15 PM
BAG:hanhhoang add 1xQuần vải đen lydo: Nhặt từ map at 03/02/2023 7:16 PM
BAG:hanhhoang add 1xNgọc Rồng 2 sao lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 2xNgọc Rồng 2 sao (old: 1) lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 3xNgọc Rồng 2 sao (old: 2) lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 4xNgọc Rồng 2 sao (old: 3) lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 5xNgọc Rồng 2 sao (old: 4) lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 6xNgọc Rồng 2 sao (old: 5) lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 7xNgọc Rồng 2 sao (old: 6) lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 8xNgọc Rồng 2 sao (old: 7) lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 9xNgọc Rồng 2 sao (old: 8) lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 10xNgọc Rồng 2 sao (old: 9) lydo: Nhập ngọc at 03/02/2023 7:43 PM
BAG:hanhhoang add 11xNgọc Rồng 2 sao (old: 10) lydo: Nhập ngọc at 03/02/2023 7:43 PM
