BAG:nhathoi1 add 5xĐậu thần cấp 1 lydo: Thu hoạch đậu at 03/02/2023 9:11 PM
BAG:nhathoi1 add 7xĐậu thần cấp 1 (old: 5) lydo: Thu hoạch đậu at 03/02/2023 9:15 PM
BAG:nhathoi1 add 10xĐậu thần cấp 1 (old: 7) lydo: Thu hoạch đậu at 03/02/2023 9:15 PM
BAG:nhathoi1 add 1xĐậu xanh lydo: Nhặt từ map at 03/02/2023 9:16 PM
BAG:nhathoi1 add 1xGà quay nguyên con lydo: Nhặt từ map at 03/02/2023 9:18 PM
BAG:nhathoi1 add 1000000xThỏi vàng lydo: Giftcode at 03/02/2023 9:27 PM
BAG:nhathoi1 add 10000xĐá ngũ sắc lydo: Giftcode at 03/02/2023 9:27 PM
BAG:nhathoi1 add 500xNgọc Rồng 3 sao lydo: Giftcode at 03/02/2023 9:28 PM
BAG:nhathoi1 add 500xNgọc Rồng 7 sao lydo: Giftcode at 03/02/2023 9:28 PM
BAG:nhathoi1 add 1xCột nhà lydo: Mua từ cửa hàng at 03/02/2023 9:28 PM
BAG:nhathoi1 add 1xTrứng vịt muối lydo: Nhặt từ map at 03/02/2023 9:29 PM
BAG:nhathoi1 add 2xGà quay nguyên con (old: 1) lydo: Nhặt từ map at 03/02/2023 9:32 PM
BAG:nhathoi1 add 3xGà quay nguyên con (old: 2) lydo: Nhặt từ map at 03/02/2023 9:32 PM
BAG:nhathoi1 add 2xĐậu xanh (old: 1) lydo: Nhặt từ map at 03/02/2023 9:33 PM
BAG:nhathoi1 add 1xViên Capsule đặc biệt lydo: Mua từ cửa hàng at 03/02/2023 9:33 PM
BAG:nhathoi1 add 1xNgọc Rồng 2 sao lydo: Nhập ngọc at 03/02/2023 9:33 PM
BAG:nhathoi1 add 2xNgọc Rồng 2 sao (old: 1) lydo: Nhập ngọc at 03/02/2023 9:33 PM
BAG:nhathoi1 add 3xNgọc Rồng 2 sao (old: 2) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 4xNgọc Rồng 2 sao (old: 3) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 5xNgọc Rồng 2 sao (old: 4) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 6xNgọc Rồng 2 sao (old: 5) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 7xNgọc Rồng 2 sao (old: 6) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 8xNgọc Rồng 2 sao (old: 7) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 9xNgọc Rồng 2 sao (old: 8) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 10xNgọc Rồng 2 sao (old: 9) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 11xNgọc Rồng 2 sao (old: 10) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 12xNgọc Rồng 2 sao (old: 11) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 13xNgọc Rồng 2 sao (old: 12) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 14xNgọc Rồng 2 sao (old: 13) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 15xNgọc Rồng 2 sao (old: 14) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 16xNgọc Rồng 2 sao (old: 15) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 17xNgọc Rồng 2 sao (old: 16) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 18xNgọc Rồng 2 sao (old: 17) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 19xNgọc Rồng 2 sao (old: 18) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 20xNgọc Rồng 2 sao (old: 19) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 21xNgọc Rồng 2 sao (old: 20) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 22xNgọc Rồng 2 sao (old: 21) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 23xNgọc Rồng 2 sao (old: 22) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 24xNgọc Rồng 2 sao (old: 23) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 25xNgọc Rồng 2 sao (old: 24) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 26xNgọc Rồng 2 sao (old: 25) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 27xNgọc Rồng 2 sao (old: 26) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 28xNgọc Rồng 2 sao (old: 27) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 29xNgọc Rồng 2 sao (old: 28) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 30xNgọc Rồng 2 sao (old: 29) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 31xNgọc Rồng 2 sao (old: 30) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 32xNgọc Rồng 2 sao (old: 31) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 33xNgọc Rồng 2 sao (old: 32) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 34xNgọc Rồng 2 sao (old: 33) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 35xNgọc Rồng 2 sao (old: 34) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 36xNgọc Rồng 2 sao (old: 35) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 37xNgọc Rồng 2 sao (old: 36) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 38xNgọc Rồng 2 sao (old: 37) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 39xNgọc Rồng 2 sao (old: 38) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 40xNgọc Rồng 2 sao (old: 39) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 41xNgọc Rồng 2 sao (old: 40) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 42xNgọc Rồng 2 sao (old: 41) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 43xNgọc Rồng 2 sao (old: 42) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 44xNgọc Rồng 2 sao (old: 43) lydo: Nhập ngọc at 03/02/2023 9:34 PM
BAG:nhathoi1 add 45xNgọc Rồng 2 sao (old: 44) lydo: Nhập ngọc at 03/02/2023 9:34 PM
