BAG:hahaaas add 1xRada cấp 1 lydo: Lấy từ rương qua người at 03/03/2023 11:52 AM
BAG:hahaaas add 1xPhi Long VIP lydo: Mua từ cửa hàng at 03/03/2023 11:53 AM
BAG:hahaaas add 1xTrứng vịt muối lydo: Nhặt từ map at 03/03/2023 11:53 AM
BAG:hahaaas add 1xGà quay nguyên con lydo: Nhặt từ map at 03/03/2023 11:54 AM
BAG:hahaaas add 1xĐậu xanh lydo: Nhặt từ map at 03/03/2023 11:55 AM
BAG:hahaaas add 1xViên Capsule đặc biệt lydo: Mua từ cửa hàng at 03/03/2023 11:56 AM
BAG:hahaaas add 1000000xThỏi vàng lydo: Giftcode at 03/03/2023 11:58 AM
BAG:hahaaas add 10000xĐá ngũ sắc lydo: Giftcode at 03/03/2023 11:58 AM
BAG:hahaaas add 1000020xThỏi vàng (old: 1000000) lydo: Đổi vàng at 03/03/2023 11:58 AM
BAG:hahaaas add 500xNgọc Rồng 3 sao lydo: Giftcode at 03/03/2023 11:58 AM
BAG:hahaaas add 500xNgọc Rồng 7 sao lydo: Giftcode at 03/03/2023 11:58 AM
BAG:hahaaas add 1xNgọc Rồng 2 sao lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 2xNgọc Rồng 2 sao (old: 1) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 3xNgọc Rồng 2 sao (old: 2) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 4xNgọc Rồng 2 sao (old: 3) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 5xNgọc Rồng 2 sao (old: 4) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 6xNgọc Rồng 2 sao (old: 5) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 7xNgọc Rồng 2 sao (old: 6) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 8xNgọc Rồng 2 sao (old: 7) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 9xNgọc Rồng 2 sao (old: 8) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 10xNgọc Rồng 2 sao (old: 9) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 11xNgọc Rồng 2 sao (old: 10) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 12xNgọc Rồng 2 sao (old: 11) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 13xNgọc Rồng 2 sao (old: 12) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 14xNgọc Rồng 2 sao (old: 13) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 15xNgọc Rồng 2 sao (old: 14) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 16xNgọc Rồng 2 sao (old: 15) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 17xNgọc Rồng 2 sao (old: 16) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 18xNgọc Rồng 2 sao (old: 17) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 19xNgọc Rồng 2 sao (old: 18) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 20xNgọc Rồng 2 sao (old: 19) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 21xNgọc Rồng 2 sao (old: 20) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 22xNgọc Rồng 2 sao (old: 21) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 23xNgọc Rồng 2 sao (old: 22) lydo: Nhập ngọc at 03/03/2023 12:01 PM
BAG:hahaaas add 24xNgọc Rồng 2 sao (old: 23) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 25xNgọc Rồng 2 sao (old: 24) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 26xNgọc Rồng 2 sao (old: 25) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 27xNgọc Rồng 2 sao (old: 26) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 28xNgọc Rồng 2 sao (old: 27) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 29xNgọc Rồng 2 sao (old: 28) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 30xNgọc Rồng 2 sao (old: 29) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 31xNgọc Rồng 2 sao (old: 30) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 32xNgọc Rồng 2 sao (old: 31) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 33xNgọc Rồng 2 sao (old: 32) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 34xNgọc Rồng 2 sao (old: 33) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 35xNgọc Rồng 2 sao (old: 34) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 36xNgọc Rồng 2 sao (old: 35) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 37xNgọc Rồng 2 sao (old: 36) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 38xNgọc Rồng 2 sao (old: 37) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 39xNgọc Rồng 2 sao (old: 38) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 40xNgọc Rồng 2 sao (old: 39) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 41xNgọc Rồng 2 sao (old: 40) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 42xNgọc Rồng 2 sao (old: 41) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 43xNgọc Rồng 2 sao (old: 42) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 44xNgọc Rồng 2 sao (old: 43) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 45xNgọc Rồng 2 sao (old: 44) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 46xNgọc Rồng 2 sao (old: 45) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 47xNgọc Rồng 2 sao (old: 46) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 48xNgọc Rồng 2 sao (old: 47) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 49xNgọc Rồng 2 sao (old: 48) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 50xNgọc Rồng 2 sao (old: 49) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 51xNgọc Rồng 2 sao (old: 50) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 52xNgọc Rồng 2 sao (old: 51) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 53xNgọc Rồng 2 sao (old: 52) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 54xNgọc Rồng 2 sao (old: 53) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 55xNgọc Rồng 2 sao (old: 54) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 56xNgọc Rồng 2 sao (old: 55) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 57xNgọc Rồng 2 sao (old: 56) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 58xNgọc Rồng 2 sao (old: 57) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 59xNgọc Rồng 2 sao (old: 58) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 60xNgọc Rồng 2 sao (old: 59) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 61xNgọc Rồng 2 sao (old: 60) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 62xNgọc Rồng 2 sao (old: 61) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 63xNgọc Rồng 2 sao (old: 62) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 64xNgọc Rồng 2 sao (old: 63) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 65xNgọc Rồng 2 sao (old: 64) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 66xNgọc Rồng 2 sao (old: 65) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 67xNgọc Rồng 2 sao (old: 66) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 68xNgọc Rồng 2 sao (old: 67) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 69xNgọc Rồng 2 sao (old: 68) lydo: Nhập ngọc at 03/03/2023 12:02 PM
BAG:hahaaas add 70xNgọc Rồng 2 sao (old: 69) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 71xNgọc Rồng 2 sao (old: 70) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 1xNgọc Rồng 6 sao lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 2xNgọc Rồng 6 sao (old: 1) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 3xNgọc Rồng 6 sao (old: 2) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 4xNgọc Rồng 6 sao (old: 3) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 5xNgọc Rồng 6 sao (old: 4) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 6xNgọc Rồng 6 sao (old: 5) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 7xNgọc Rồng 6 sao (old: 6) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 8xNgọc Rồng 6 sao (old: 7) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 9xNgọc Rồng 6 sao (old: 8) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 10xNgọc Rồng 6 sao (old: 9) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 11xNgọc Rồng 6 sao (old: 10) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 12xNgọc Rồng 6 sao (old: 11) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 13xNgọc Rồng 6 sao (old: 12) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 14xNgọc Rồng 6 sao (old: 13) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 15xNgọc Rồng 6 sao (old: 14) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 16xNgọc Rồng 6 sao (old: 15) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 17xNgọc Rồng 6 sao (old: 16) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 18xNgọc Rồng 6 sao (old: 17) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 19xNgọc Rồng 6 sao (old: 18) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 20xNgọc Rồng 6 sao (old: 19) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 21xNgọc Rồng 6 sao (old: 20) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 22xNgọc Rồng 6 sao (old: 21) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 23xNgọc Rồng 6 sao (old: 22) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 24xNgọc Rồng 6 sao (old: 23) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 25xNgọc Rồng 6 sao (old: 24) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 26xNgọc Rồng 6 sao (old: 25) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 27xNgọc Rồng 6 sao (old: 26) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 28xNgọc Rồng 6 sao (old: 27) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 29xNgọc Rồng 6 sao (old: 28) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 30xNgọc Rồng 6 sao (old: 29) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 31xNgọc Rồng 6 sao (old: 30) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 32xNgọc Rồng 6 sao (old: 31) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 33xNgọc Rồng 6 sao (old: 32) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 34xNgọc Rồng 6 sao (old: 33) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 35xNgọc Rồng 6 sao (old: 34) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 36xNgọc Rồng 6 sao (old: 35) lydo: Nhập ngọc at 03/03/2023 12:03 PM
BAG:hahaaas add 37xNgọc Rồng 6 sao (old: 36) lydo: Nhập ngọc at 03/03/2023 12:03 PM
