BAG:buswin add 5xĐậu thần cấp 1 lydo: Thu hoạch đậu at 03/04/2023 3:18 PM
BAG:buswin add 8xĐậu thần cấp 1 (old: 3) lydo: Thu hoạch đậu at 03/04/2023 3:20 PM
BAG:buswin add 1xTrứng vịt muối lydo: Nhặt từ map at 03/04/2023 3:21 PM
BAG:buswin add 1xĐậu xanh lydo: Nhặt từ map at 03/04/2023 3:22 PM
BAG:buswin add 2xĐậu xanh (old: 1) lydo: Nhặt từ map at 03/04/2023 3:22 PM
BAG:buswin add 3xĐậu xanh (old: 2) lydo: Nhặt từ map at 03/04/2023 3:23 PM
BAG:buswin add 1xQuần vải đen lydo: Nhặt từ map at 03/04/2023 3:23 PM
BAG:buswin add 4xĐậu xanh (old: 3) lydo: Nhặt từ map at 03/04/2023 3:24 PM
BAG:buswin add 1xBột mì lydo: Nhặt từ map at 03/04/2023 3:24 PM
BAG:buswin add 2xBột mì (old: 1) lydo: Nhặt từ map at 03/04/2023 3:25 PM
BAG:buswin add 1xQuần vải đen lydo: Nhặt từ map at 03/04/2023 3:26 PM
BAG:buswin add 2xTrứng vịt muối (old: 1) lydo: Nhặt từ map at 03/04/2023 3:26 PM
BAG:buswin add 1xGà quay nguyên con lydo: Nhặt từ map at 03/04/2023 3:26 PM
BAG:buswin add 1xÁo vải 3 lỗ lydo: Nhặt từ map at 03/04/2023 3:26 PM
BAG:buswin add 1xViên Capsule đặc biệt lydo: Mua từ cửa hàng at 03/04/2023 3:27 PM
BAG:buswin add 20xThỏi vàng lydo: Đổi vàng at 03/04/2023 3:28 PM
BAG:buswin add 500xNgọc Rồng 3 sao lydo: Giftcode at 03/04/2023 3:29 PM
BAG:buswin add 500xNgọc Rồng 7 sao lydo: Giftcode at 03/04/2023 3:29 PM
BAG:buswin add 1xCải trang Đôrêmon lydo: Mua từ cửa hàng at 03/04/2023 3:29 PM
BAG:buswin add 2xGà quay nguyên con (old: 1) lydo: Nhặt từ map at 03/04/2023 3:30 PM
BAG:buswin add 1xNgọc Rồng 2 sao lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 2xNgọc Rồng 2 sao (old: 1) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 3xNgọc Rồng 2 sao (old: 2) lydo: Nhập ngọc at 03/04/2023 3:30 PM
BAG:buswin add 4xNgọc Rồng 2 sao (old: 3) lydo: Nhập ngọc at 03/04/2023 3:30 PM
