BAG:brohulk add 1xGăng jean Calic lydo: Lấy từ body đệ vào hành trang at 03/05/2023 12:21 PM
BAG:brohulk add 1xĐá Vĩnh Hằng lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 1xĐá Hắc Hóa lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 30xĐá ngũ sắc lydo: Đổi đá ngũ sắc at 03/05/2023 12:22 PM
BAG:brohulk add 2xĐá Vĩnh Hằng (old: 1) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 2xĐá Hắc Hóa (old: 1) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 3xĐá Vĩnh Hằng (old: 2) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 3xĐá Hắc Hóa (old: 2) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 4xĐá Vĩnh Hằng (old: 3) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 4xĐá Hắc Hóa (old: 3) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 5xĐá Vĩnh Hằng (old: 4) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 5xĐá Hắc Hóa (old: 4) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 7xĐá Hắc Hóa (old: 6) lydo: Mua santa at 03/05/2023 12:22 PM
BAG:brohulk add 8xĐá Vĩnh Hằng (old: 7) lydo: Mua santa at 03/05/2023 12:23 PM
BAG:brohulk add 8xĐá Hắc Hóa (old: 7) lydo: Mua santa at 03/05/2023 12:23 PM
BAG:brohulk add 9xĐá Vĩnh Hằng (old: 8) lydo: Mua santa at 03/05/2023 12:23 PM
BAG:brohulk add 9xĐá Hắc Hóa (old: 8) lydo: Mua santa at 03/05/2023 12:23 PM
BAG:brohulk add 10xĐá Vĩnh Hằng (old: 9) lydo: Mua santa at 03/05/2023 12:23 PM
BAG:brohulk add 10xĐá Hắc Hóa (old: 9) lydo: Mua santa at 03/05/2023 12:23 PM
BAG:brohulk add 11xĐá Vĩnh Hằng (old: 10) lydo: Mua santa at 03/05/2023 12:23 PM
