BAG:sunny remove 1xBổ huyết lydo: Dùng buff at 03/10/2023 7:27 AM
BAG:sunny remove 1xGiáp Xên bọ hung lydo: Dùng buff at 03/10/2023 7:27 AM
BAG:sunny remove 1xCuồng nộ lydo: Dùng buff at 03/10/2023 7:27 AM
BAG:sunny remove Pháo hoa lydo: Tự Xóa vật phẩm at 03/10/2023 7:35 AM
BAG:sunny remove 1xBổ huyết lydo: Dùng buff at 03/10/2023 7:37 AM
BAG:sunny remove 1xGiáp Xên bọ hung lydo: Dùng buff at 03/10/2023 7:37 AM
BAG:sunny remove 1xCuồng nộ lydo: Dùng buff at 03/10/2023 7:37 AM
BAG:sunny remove Pháo hoa lydo: Tự Xóa vật phẩm at 03/10/2023 7:37 AM
BAG:sunny remove 1xBổ huyết lydo: Dùng buff at 03/10/2023 7:47 AM
BAG:sunny remove 1xGiáp Xên bọ hung lydo: Dùng buff at 03/10/2023 7:47 AM
BAG:sunny remove 1xCuồng nộ lydo: Dùng buff at 03/10/2023 7:47 AM
BAG:sunny remove Giáp tập luyện cấp 3 lydo: Mặc vào người at 03/10/2023 7:51 AM
BAG:sunny remove Giáp tập luyện cấp 3 lydo: Mặc vào người at 03/10/2023 7:53 AM
BAG:sunny remove Nhẫn Thần Linh lydo: Cất vào rương at 03/10/2023 7:53 AM
BAG:sunny remove Ngọc Rồng 2 sao lydo: Cất vào rương at 03/10/2023 7:53 AM
BAG:sunny remove Găng lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 8:04 AM
BAG:sunny remove Găng vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 9:26 AM
BAG:sunny remove Quần jean Calic lydo: Tự Xóa vật phẩm at 03/10/2023 9:26 AM
BAG:sunny remove Quần vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 9:26 AM
BAG:sunny remove Giày jean Calic lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Quần lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Áo vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Áo vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Áo jean Calic lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Quần vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Áo jean Calic lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Áo vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Giày jean Calic lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Quần vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Găng jean Calic lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Áo vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Găng jean Calic lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Áo lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Găng lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Găng vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 2:25 PM
BAG:sunny remove Găng jean Calic lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Áo lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Áo jean Calic lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Giày vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Găng vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Quần vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Quần lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Găng lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Áo lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Găng vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Găng vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Găng lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove Áo vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 5:17 PM
BAG:sunny remove 1xCánh thiên thần 2 lydo: Item hết hạn sử dụng at 03/10/2023 8:01 PM
BAG:sunny remove Giày vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 8:01 PM
BAG:sunny remove Quần lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 8:01 PM
BAG:sunny remove Áo lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 8:01 PM
BAG:sunny remove Găng lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 8:01 PM
BAG:sunny remove Giày vàng Zealot lydo: Tự Xóa vật phẩm at 03/10/2023 8:01 PM
BAG:sunny remove Quần lưỡng long lydo: Tự Xóa vật phẩm at 03/10/2023 8:01 PM
