BAG:unuunu1 remove Giáp tập luyện cấp 3 lydo: Mặc vào người at 03/31/2023 7:01 AM
BAG:unuunu1 remove Ngọc Rồng 5 sao lydo: Cất vào rương at 03/31/2023 7:02 AM
BAG:unuunu1 remove Đá Titan lydo: Cất vào rương at 03/31/2023 7:02 AM
BAG:unuunu1 remove Đá Ruby lydo: Cất vào rương at 03/31/2023 7:02 AM
BAG:unuunu1 remove Đá lục bảo lydo: Cất vào rương at 03/31/2023 7:02 AM
BAG:unuunu1 remove Đá Saphia lydo: Cất vào rương at 03/31/2023 7:02 AM
BAG:unuunu1 remove Đá thạch anh tím lydo: Cất vào rương at 03/31/2023 7:02 AM
BAG:unuunu1 remove 1xNgọc Rồng 1 sao lydo: Gọi rồng at 03/31/2023 7:02 AM
BAG:unuunu1 remove 1xNgọc Rồng 2 sao lydo: Gọi rồng at 03/31/2023 7:02 AM
BAG:unuunu1 remove 1xNgọc Rồng 3 sao lydo: Gọi rồng at 03/31/2023 7:02 AM
BAG:unuunu1 remove 1xNgọc Rồng 4 sao lydo: Gọi rồng at 03/31/2023 7:02 AM
BAG:unuunu1 remove 1xNgọc Rồng 5 sao lydo: Gọi rồng at 03/31/2023 7:02 AM
BAG:unuunu1 remove 1xNgọc Rồng 6 sao lydo: Gọi rồng at 03/31/2023 7:02 AM
BAG:unuunu1 remove 1xNgọc Rồng 7 sao lydo: Gọi rồng at 03/31/2023 7:02 AM
BAG:unuunu1 remove 1xNgọc Rồng 1 sao lydo: Gọi rồng at 03/31/2023 7:03 AM
BAG:unuunu1 remove 1xNgọc Rồng 2 sao lydo: Gọi rồng at 03/31/2023 7:03 AM
BAG:unuunu1 remove 1xNgọc Rồng 3 sao lydo: Gọi rồng at 03/31/2023 7:03 AM
BAG:unuunu1 remove 1xNgọc Rồng 4 sao lydo: Gọi rồng at 03/31/2023 7:03 AM
BAG:unuunu1 remove 1xNgọc Rồng 5 sao lydo: Gọi rồng at 03/31/2023 7:03 AM
BAG:unuunu1 remove 1xNgọc Rồng 6 sao lydo: Gọi rồng at 03/31/2023 7:03 AM
