BAG:iron8s add 1xPhóng lợn lydo: Mua từ cửa hàng at 04/08/2023 3:19 AM
BAG:iron8s add 61xĐá lục bảo (old: 60) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 11xNgọc Rồng 5 sao (old: 10) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 6xMảnh hồn bông tai (old: 5) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 35xĐá thạch anh tím (old: 34) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 36xĐá thạch anh tím (old: 35) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 62xĐá lục bảo (old: 61) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 7xMảnh hồn bông tai (old: 6) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 8xMảnh hồn bông tai (old: 7) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 9xMảnh hồn bông tai (old: 8) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 10xMảnh hồn bông tai (old: 9) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 11xMảnh hồn bông tai (old: 10) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 12xMảnh hồn bông tai (old: 11) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 13xMảnh hồn bông tai (old: 12) lydo: Nhặt từ map at 04/08/2023 5:03 PM
BAG:iron8s add 14xMảnh hồn bông tai (old: 13) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 15xMảnh hồn bông tai (old: 14) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 16xMảnh hồn bông tai (old: 15) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 17xMảnh hồn bông tai (old: 16) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 18xMảnh hồn bông tai (old: 17) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 19xMảnh hồn bông tai (old: 18) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 63xĐá lục bảo (old: 62) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 20xMảnh hồn bông tai (old: 19) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 21xMảnh hồn bông tai (old: 20) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 22xMảnh hồn bông tai (old: 21) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 23xMảnh hồn bông tai (old: 22) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 24xMảnh hồn bông tai (old: 23) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 25xMảnh hồn bông tai (old: 24) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 26xMảnh hồn bông tai (old: 25) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 27xMảnh hồn bông tai (old: 26) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 28xMảnh hồn bông tai (old: 27) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 18xNgọc Rồng 6 sao (old: 17) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 29xMảnh hồn bông tai (old: 28) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 30xMảnh hồn bông tai (old: 29) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 31xMảnh hồn bông tai (old: 30) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 32xMảnh hồn bông tai (old: 31) lydo: Nhặt từ map at 04/08/2023 5:04 PM
BAG:iron8s add 64xĐá lục bảo (old: 63) lydo: Nhặt từ map at 04/08/2023 5:04 PM
