BAG:zvuiz add 1xMảnh hồn bông tai lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 31xĐá lục bảo (old: 30) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 74xNgọc Rồng 6 sao (old: 73) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 2xMảnh hồn bông tai (old: 1) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 3xMảnh hồn bông tai (old: 2) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 4xMảnh hồn bông tai (old: 3) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 5xMảnh hồn bông tai (old: 4) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 6xMảnh hồn bông tai (old: 5) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 7xMảnh hồn bông tai (old: 6) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 8xMảnh hồn bông tai (old: 7) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 9xMảnh hồn bông tai (old: 8) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 10xMảnh hồn bông tai (old: 9) lydo: Nhặt từ map at 04/09/2023 2:22 AM
BAG:zvuiz add 11xMảnh hồn bông tai (old: 10) lydo: Nhặt từ map at 04/09/2023 2:23 AM
BAG:zvuiz add 12xMảnh hồn bông tai (old: 11) lydo: Nhặt từ map at 04/09/2023 2:23 AM
BAG:zvuiz add 13xMảnh hồn bông tai (old: 12) lydo: Nhặt từ map at 04/09/2023 2:23 AM
BAG:zvuiz add 14xMảnh hồn bông tai (old: 13) lydo: Nhặt từ map at 04/09/2023 2:23 AM
BAG:zvuiz add 15xMảnh hồn bông tai (old: 14) lydo: Nhặt từ map at 04/09/2023 2:23 AM
BAG:zvuiz add 16xMảnh hồn bông tai (old: 15) lydo: Nhặt từ map at 04/09/2023 2:23 AM
BAG:zvuiz add 17xMảnh hồn bông tai (old: 16) lydo: Nhặt từ map at 04/09/2023 2:23 AM
BAG:zvuiz add 73xĐá thạch anh tím (old: 72) lydo: Nhặt từ map at 04/09/2023 2:23 AM
BAG:zvuiz add 18xMảnh hồn bông tai (old: 17) lydo: Nhặt từ map at 04/09/2023 2:23 AM
