BAG:nika1 add 1xQuần vải thô lydo: Nhặt từ map at 04/11/2023 12:00 AM
BAG:nika1 add 1xQuần lông đỏ lydo: Cường Hóa trang bị at 04/11/2023 12:41 PM
BAG:nika1 add 1xGăng lông đỏ lydo: Cường Hóa trang bị at 04/11/2023 12:41 PM
BAG:nika1 add 1xGiày lông đỏ lydo: Cường Hóa trang bị at 04/11/2023 12:41 PM
BAG:nika1 add 1xRada cấp 9 lydo: Cường Hóa trang bị at 04/11/2023 12:41 PM
BAG:nika1 add 1xQuần lưỡng long lydo: Cường Hóa trang bị at 04/11/2023 12:41 PM
BAG:nika1 add 1xQuần lưỡng long lydo: Lấy từ body vào hành trang at 04/11/2023 12:42 PM
BAG:nika1 add 1xQuần lưỡng long lydo: Cường Hóa trang bị at 04/11/2023 12:42 PM
BAG:nika1 add 54xĐá Vĩnh Hằng (old: 53) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 54xĐá Hắc Hóa (old: 53) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 55xĐá Vĩnh Hằng (old: 54) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 55xĐá Hắc Hóa (old: 54) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 56xĐá Vĩnh Hằng (old: 55) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 56xĐá Hắc Hóa (old: 55) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 57xĐá Vĩnh Hằng (old: 56) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 57xĐá Hắc Hóa (old: 56) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 58xĐá Vĩnh Hằng (old: 57) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 58xĐá Hắc Hóa (old: 57) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 59xĐá Vĩnh Hằng (old: 58) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 59xĐá Hắc Hóa (old: 58) lydo: Mua santa at 04/11/2023 12:43 PM
BAG:nika1 add 1xGăng lưỡng long lydo: Cường Hóa trang bị at 04/11/2023 12:43 PM
BAG:nika1 add 1xRada cấp 12 lydo: Cường Hóa trang bị at 04/11/2023 12:43 PM
BAG:nika1 add 1xGiày lưỡng long lydo: Cường Hóa trang bị at 04/11/2023 12:43 PM
BAG:nika1 add 1xGăng Thần Xayda lydo: Cường Hóa trang bị at 04/11/2023 12:44 PM
BAG:nika1 add 1xGăng Hủy Diệt lydo: Cường Hóa trang bị at 04/11/2023 12:44 PM
BAG:nika1 add 1xGăng lông đỏ lydo: Cường Hóa trang bị at 04/11/2023 12:45 PM
BAG:nika1 add 1xGăng lưỡng long lydo: Cường Hóa trang bị at 04/11/2023 12:45 PM
BAG:nika1 add 1xGăng Thần Xayda lydo: Cường Hóa trang bị at 04/11/2023 12:45 PM
BAG:nika1 add 1xGăng Hủy Diệt lydo: Cường Hóa trang bị at 04/11/2023 12:45 PM
BAG:nika1 add 1xGăng lông đỏ lydo: Cường Hóa trang bị at 04/11/2023 12:46 PM
BAG:nika1 add 1xGăng lưỡng long lydo: Cường Hóa trang bị at 04/11/2023 12:46 PM
BAG:nika1 add 1xGăng Thần Xayda lydo: Cường Hóa trang bị at 04/11/2023 12:46 PM
BAG:nika1 add 2xĐá Vĩnh Hằng (old: 1) lydo: Mua santa at 04/11/2023 12:46 PM
BAG:nika1 add 2xĐá Hắc Hóa (old: 1) lydo: Mua santa at 04/11/2023 12:46 PM
BAG:nika1 add 3xĐá Vĩnh Hằng (old: 2) lydo: Mua santa at 04/11/2023 12:46 PM
BAG:nika1 add 3xĐá Hắc Hóa (old: 2) lydo: Mua santa at 04/11/2023 12:46 PM
BAG:nika1 add 4xĐá Vĩnh Hằng (old: 3) lydo: Mua santa at 04/11/2023 12:46 PM
BAG:nika1 add 4xĐá Hắc Hóa (old: 3) lydo: Mua santa at 04/11/2023 12:46 PM
BAG:nika1 add 5xĐá Vĩnh Hằng (old: 4) lydo: Mua santa at 04/11/2023 12:46 PM
BAG:nika1 add 5xĐá Hắc Hóa (old: 4) lydo: Mua santa at 04/11/2023 12:46 PM
BAG:nika1 add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 04/11/2023 12:47 PM
BAG:nika1 add 7xĐá Hắc Hóa (old: 6) lydo: Mua santa at 04/11/2023 12:47 PM
