BAG:xdxdxd add 1xGiáp tập luyện cấp 3 lydo: Lấy từ body vào hành trang at 03/17/2023 6:00 AM
BAG:xdxdxd add 1xMảnh hồn bông tai lydo: Nhặt từ map at 03/17/2023 6:00 AM
BAG:xdxdxd add 7xĐá lục bảo (old: 6) lydo: Nhặt từ map at 03/17/2023 6:00 AM
BAG:xdxdxd add 2xMảnh hồn bông tai (old: 1) lydo: Nhặt từ map at 03/17/2023 6:00 AM
BAG:xdxdxd add 3xMảnh hồn bông tai (old: 2) lydo: Nhặt từ map at 03/17/2023 6:00 AM
BAG:xdxdxd add 4xMảnh hồn bông tai (old: 3) lydo: Nhặt từ map at 03/17/2023 6:00 AM
BAG:xdxdxd add 5xMảnh hồn bông tai (old: 4) lydo: Nhặt từ map at 03/17/2023 6:00 AM
BAG:xdxdxd add 6xMảnh hồn bông tai (old: 5) lydo: Nhặt từ map at 03/17/2023 6:00 AM
BAG:xdxdxd add 7xMảnh hồn bông tai (old: 6) lydo: Nhặt từ map at 03/17/2023 6:00 AM
BAG:xdxdxd add 8xMảnh hồn bông tai (old: 7) lydo: Nhặt từ map at 03/17/2023 6:00 AM
BAG:xdxdxd add 9xMảnh hồn bông tai (old: 8) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 10xMảnh hồn bông tai (old: 9) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 11xMảnh hồn bông tai (old: 10) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 12xMảnh hồn bông tai (old: 11) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 13xMảnh hồn bông tai (old: 12) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 14xMảnh hồn bông tai (old: 13) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 15xMảnh hồn bông tai (old: 14) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 12xĐá Titan (old: 11) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 16xMảnh hồn bông tai (old: 15) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 17xMảnh hồn bông tai (old: 16) lydo: Nhặt từ map at 03/17/2023 6:01 AM
BAG:xdxdxd add 18xMảnh hồn bông tai (old: 17) lydo: Nhặt từ map at 03/17/2023 6:01 AM
