BAG:hello1 add 1xÁo vải thô lydo: Lấy từ body đệ vào hành trang at 03/03/2023 12:06 AM
BAG:hello1 add 1xQuần vải thô lydo: Lấy từ body đệ vào hành trang at 03/03/2023 12:06 AM
BAG:hello1 add 1xGăng vải thô lydo: Lấy từ body đệ vào hành trang at 03/03/2023 12:06 AM
BAG:hello1 add 1xGiầy vải thô lydo: Lấy từ body đệ vào hành trang at 03/03/2023 12:06 AM
BAG:hello1 add 1xRada cấp 1 lydo: Lấy từ body đệ vào hành trang at 03/03/2023 12:06 AM
BAG:hello1 add 1xCải trang Đôrêmon lydo: Lấy từ body đệ vào hành trang at 03/03/2023 12:06 AM
BAG:hello1 add 1xGiáp tập luyện cấp 3 lydo: Lấy từ body vào hành trang at 03/03/2023 12:06 AM
BAG:hello1 add 1xĐậu thần cấp 1 lydo: Clan cho đậu at 03/03/2023 12:07 AM
BAG:hello1 add 2xĐậu thần cấp 1 (old: 1) lydo: Clan cho đậu at 03/03/2023 12:07 AM
BAG:hello1 add 3xĐậu thần cấp 1 (old: 2) lydo: Clan cho đậu at 03/03/2023 12:07 AM
BAG:hello1 add 11xĐậu thần cấp 10 (old: 10) lydo: Clan cho đậu at 03/03/2023 12:07 AM
BAG:hello1 add 12xĐậu thần cấp 10 (old: 11) lydo: Clan cho đậu at 03/03/2023 12:07 AM
BAG:hello1 add 13xGà quay nguyên con (old: 12) lydo: Nhặt từ map at 03/03/2023 12:08 AM
BAG:hello1 add 1xĐá Vĩnh Hằng lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 1xĐá Hắc Hóa lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 2xĐá Vĩnh Hằng (old: 1) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 2xĐá Hắc Hóa (old: 1) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 3xĐá Vĩnh Hằng (old: 2) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 3xĐá Hắc Hóa (old: 2) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 4xĐá Vĩnh Hằng (old: 3) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 4xĐá Hắc Hóa (old: 3) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 5xĐá Vĩnh Hằng (old: 4) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 5xĐá Hắc Hóa (old: 4) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 7xĐá Hắc Hóa (old: 6) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 8xĐá Vĩnh Hằng (old: 7) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 8xĐá Hắc Hóa (old: 7) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 9xĐá Vĩnh Hằng (old: 8) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 9xĐá Hắc Hóa (old: 8) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 10xĐá Vĩnh Hằng (old: 9) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 10xĐá Hắc Hóa (old: 9) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 11xĐá Vĩnh Hằng (old: 10) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 11xĐá Hắc Hóa (old: 10) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 12xĐá Vĩnh Hằng (old: 11) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 12xĐá Hắc Hóa (old: 11) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 13xĐá Vĩnh Hằng (old: 12) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 13xĐá Hắc Hóa (old: 12) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 14xĐá Vĩnh Hằng (old: 13) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 14xĐá Hắc Hóa (old: 13) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 15xĐá Vĩnh Hằng (old: 14) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 15xĐá Hắc Hóa (old: 14) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 16xĐá Vĩnh Hằng (old: 15) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 16xĐá Hắc Hóa (old: 15) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 17xĐá Vĩnh Hằng (old: 16) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 17xĐá Hắc Hóa (old: 16) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 18xĐá Vĩnh Hằng (old: 17) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 18xĐá Hắc Hóa (old: 17) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 19xĐá Vĩnh Hằng (old: 18) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 19xĐá Hắc Hóa (old: 18) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 20xĐá Vĩnh Hằng (old: 19) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 20xĐá Hắc Hóa (old: 19) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 21xĐá Vĩnh Hằng (old: 20) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 21xĐá Hắc Hóa (old: 20) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 22xĐá Vĩnh Hằng (old: 21) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 22xĐá Hắc Hóa (old: 21) lydo: Mua santa at 03/03/2023 12:09 AM
BAG:hello1 add 23xĐá Vĩnh Hằng (old: 22) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 23xĐá Hắc Hóa (old: 22) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 24xĐá Vĩnh Hằng (old: 23) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 24xĐá Hắc Hóa (old: 23) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 25xĐá Vĩnh Hằng (old: 24) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 25xĐá Hắc Hóa (old: 24) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 26xĐá Vĩnh Hằng (old: 25) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 26xĐá Hắc Hóa (old: 25) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 27xĐá Vĩnh Hằng (old: 26) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 27xĐá Hắc Hóa (old: 26) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 28xĐá Vĩnh Hằng (old: 27) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 28xĐá Hắc Hóa (old: 27) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 29xĐá Vĩnh Hằng (old: 28) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 29xĐá Hắc Hóa (old: 28) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 30xĐá Vĩnh Hằng (old: 29) lydo: Mua santa at 03/03/2023 12:10 AM
BAG:hello1 add 30xĐá Hắc Hóa (old: 29) lydo: Mua santa at 03/03/2023 12:10 AM
