BAG:kdkdkd add 1000000xThỏi vàng lydo: Giftcode at 03/05/2023 12:20 AM
BAG:kdkdkd add 10000xĐá ngũ sắc lydo: Giftcode at 03/05/2023 12:20 AM
BAG:kdkdkd add 10xĐậu thần cấp 1 (old: 5) lydo: Thu hoạch đậu at 03/05/2023 12:21 AM
BAG:kdkdkd add 1xCải trang Đôrêmon lydo: Mua từ cửa hàng at 03/05/2023 12:21 AM
BAG:kdkdkd add 1xCải trang Hit lydo: Mua từ cửa hàng at 03/05/2023 12:22 AM
BAG:kdkdkd add 1xĐậu thần cấp 5 lydo: Thu hoạch đậu at 03/05/2023 12:24 AM
BAG:kdkdkd add 1xGà quay nguyên con lydo: Nhặt từ map at 03/05/2023 12:26 AM
BAG:kdkdkd add 1xVán bay lydo: Mua từ cửa hàng at 03/05/2023 12:27 AM
BAG:kdkdkd add 1xQuần vải thô lydo: Nhặt từ map at 03/05/2023 12:29 AM
BAG:kdkdkd add 2xGà quay nguyên con (old: 1) lydo: Nhặt từ map at 03/05/2023 12:29 AM
BAG:kdkdkd add 1xViên Capsule đặc biệt lydo: Mua từ cửa hàng at 03/05/2023 12:29 AM
BAG:kdkdkd add 500xNgọc Rồng 3 sao lydo: Giftcode at 03/05/2023 12:31 AM
BAG:kdkdkd add 500xNgọc Rồng 7 sao lydo: Giftcode at 03/05/2023 12:31 AM
BAG:kdkdkd add 1xNgọc Rồng 2 sao lydo: Nhập ngọc at 03/05/2023 12:31 AM
BAG:kdkdkd add 2xNgọc Rồng 2 sao (old: 1) lydo: Nhập ngọc at 03/05/2023 12:31 AM
BAG:kdkdkd add 3xNgọc Rồng 2 sao (old: 2) lydo: Nhập ngọc at 03/05/2023 12:31 AM
BAG:kdkdkd add 4xNgọc Rồng 2 sao (old: 3) lydo: Nhập ngọc at 03/05/2023 12:31 AM
BAG:kdkdkd add 5xNgọc Rồng 2 sao (old: 4) lydo: Nhập ngọc at 03/05/2023 12:31 AM
BAG:kdkdkd add 6xNgọc Rồng 2 sao (old: 5) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 7xNgọc Rồng 2 sao (old: 6) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 8xNgọc Rồng 2 sao (old: 7) lydo: Nhập ngọc at 03/05/2023 12:32 AM
BAG:kdkdkd add 9xNgọc Rồng 2 sao (old: 8) lydo: Nhập ngọc at 03/05/2023 12:32 AM
