BAG:thaoly14 add 1xBông tai Porata lydo: Mua từ cửa hàng at 03/30/2023 6:05 AM
BAG:thaoly14 add 2xĐá Ruby (old: 1) lydo: Nhặt từ map at 03/30/2023 6:06 AM
BAG:thaoly14 add 10xĐá lục bảo (old: 9) lydo: Nhặt từ map at 03/30/2023 6:06 AM
BAG:thaoly14 add 26xPháo hoa (old: 21) lydo: Nhặt từ map at 03/30/2023 6:06 AM
BAG:thaoly14 add 3xĐá Ruby (old: 2) lydo: Nhặt từ map at 03/30/2023 6:06 AM
BAG:thaoly14 add 31xPháo hoa (old: 26) lydo: Nhặt từ map at 03/30/2023 6:07 AM
BAG:thaoly14 add 4xĐá Ruby (old: 3) lydo: Nhặt từ map at 03/30/2023 6:07 AM
BAG:thaoly14 add 36xPháo hoa (old: 31) lydo: Nhặt từ map at 03/30/2023 6:07 AM
BAG:thaoly14 add 41xPháo hoa (old: 36) lydo: Nhặt từ map at 03/30/2023 6:08 AM
BAG:thaoly14 add 3xNgọc Rồng 6 sao (old: 2) lydo: Nhặt từ map at 03/30/2023 6:08 AM
BAG:thaoly14 add 46xPháo hoa (old: 41) lydo: Nhặt từ map at 03/30/2023 6:08 AM
BAG:thaoly14 add 51xPháo hoa (old: 46) lydo: Nhặt từ map at 03/30/2023 6:09 AM
BAG:thaoly14 add 5xĐá Ruby (old: 4) lydo: Nhặt từ map at 03/30/2023 6:09 AM
BAG:thaoly14 add 56xPháo hoa (old: 51) lydo: Nhặt từ map at 03/30/2023 6:09 AM
BAG:thaoly14 add 2xĐá Titan (old: 1) lydo: Nhặt từ map at 03/30/2023 6:10 AM
BAG:thaoly14 add 7xĐá Saphia (old: 6) lydo: Nhặt từ map at 03/30/2023 6:11 AM
BAG:thaoly14 add 11xĐá lục bảo (old: 10) lydo: Nhặt từ map at 03/30/2023 6:12 AM
BAG:thaoly14 add 61xPháo hoa (old: 56) lydo: Nhặt từ map at 03/30/2023 6:13 AM
BAG:thaoly14 add 66xPháo hoa (old: 61) lydo: Nhặt từ map at 03/30/2023 6:13 AM
BAG:thaoly14 add 71xPháo hoa (old: 66) lydo: Nhặt từ map at 03/30/2023 6:14 AM
BAG:thaoly14 add 8xĐá Saphia (old: 7) lydo: Nhặt từ map at 03/30/2023 6:14 AM
BAG:thaoly14 add 76xPháo hoa (old: 71) lydo: Nhặt từ map at 03/30/2023 6:14 AM
