BAG:kajafunki remove Rada cấp 1 lydo: Mặc vào người at 03/19/2023 11:11 PM
BAG:kajafunki remove 1xĐậu thần cấp 10 lydo: Ăn đậu at 03/19/2023 11:15 PM
BAG:kajafunki remove Đá Titan lydo: Tự Xóa vật phẩm at 03/19/2023 11:15 PM
BAG:kajafunki remove 1xĐậu thần cấp 10 lydo: Ăn đậu at 03/19/2023 11:16 PM
BAG:kajafunki remove 1xĐậu thần cấp 10 lydo: Ăn đậu at 03/19/2023 11:18 PM
BAG:kajafunki remove 1xĐậu thần cấp 10 lydo: Ăn đậu at 03/19/2023 11:19 PM
BAG:kajafunki remove 1xĐậu thần cấp 10 lydo: Ăn đậu at 03/19/2023 11:19 PM
BAG:kajafunki remove 1xĐậu thần cấp 10 lydo: Ăn đậu at 03/19/2023 11:20 PM
BAG:kajafunki remove Đá Titan lydo: Tự Xóa vật phẩm at 03/19/2023 11:20 PM
BAG:kajafunki remove 1xĐậu thần cấp 10 lydo: Ăn đậu at 03/19/2023 11:21 PM
BAG:kajafunki remove 1xĐậu thần cấp 10 lydo: Ăn đậu at 03/19/2023 11:22 PM
